,날짜,온도
4932,20160703,21.86
4933,20160704,25.4
4934,20160705,27.08
4935,20160706,26.48
4936,20160707,26.68
4937,20160708,26.34
4938,20160709,27.9
4939,20160710,27.16
4940,20160711,26.44
4941,20160712,24.39
4942,20160713,26.5
4943,20160714,25.9
4944,20160715,25.85
4945,20160716,23.69
4946,20160717,24.55
4947,20160718,25.04
4948,20160719,26.72
4949,20160720,27.38
4950,20160721,27.39
4951,20160722,27.27
4952,20160723,27.73
4953,20160724,29.19
4954,20160725,29.41
4955,20160726,29.62
4956,20160727,28.95
4957,20160728,29.65
4958,20160729,30.48
4959,20160730,30.27
4960,20160731,30.26
4961,20160801,30.01
4962,20160802,28.25
4963,20160803,26.69
4964,20160804,28.36
4965,20160805,29.44
4966,20160806,29.8
4967,20160807,27.81
4968,20160808,27.82
4969,20160809,27.58
4970,20160810,29.37
4971,20160811,30.67
4972,20160812,30.57
4973,20160813,30.13
4974,20160814,29.53
4975,20160815,28.7
4976,20160816,28.74
4977,20160817,28.4
4978,20160818,28.83
4979,20160819,29.45
4980,20160820,29.73
4981,20160821,29.89
4982,20160822,29.82
4983,20160823,28.12
4984,20160824,28.88
4985,20160825,28.86
4986,20160826,24.74
4987,20160827,22.02
4988,20160828,20.63
4989,20160829,21.73
4990,20160830,22.28
4991,20160831,24.38
4992,20160901,26.51
4993,20160902,21.96
4994,20160903,25.55
4995,20160904,27.05
4996,20160905,26.19
4997,20160906,24.28
4998,20160907,23.69
4999,20160908,23.77
5000,20160909,24.3
5001,20160910,23.01
5002,20160911,22.83
5003,20160912,23.24
5004,20160913,24.55
5005,20160914,24.3
5006,20160915,24.5
5007,20160916,22.05
5008,20160917,20.62
5009,20160918,20.4
5010,20160919,21.21
5011,20160920,21.23
5012,20160921,20.33
5013,20160922,21.48
5014,20160923,21.63
5015,20160924,22.45
5016,20160925,22.94
5017,20160926,23.71
5018,20160927,25.58
5019,20160928,22.15
5020,20160929,21.25
5021,20160930,18.53
5022,20161001,20.3
5023,20161002,23.18
5024,20161003,24.28
5025,20161004,23.63
5026,20161005,21.14
5027,20161006,20.18
5028,20161007,18.28
5029,20161008,18.0
5030,20161009,14.35
5031,20161010,14.53
5032,20161011,15.76
5033,20161012,16.73
5034,20161013,15.84
5035,20161014,17.43
5036,20161015,18.34
5037,20161016,16.31
5038,20161017,18.76
5039,20161018,18.0
5040,20161019,18.45
5041,20161020,17.32
5042,20161021,17.86
5043,20161022,18.25
5044,20161023,17.16
5045,20161024,15.68
5046,20161025,16.95
5047,20161026,15.0
5048,20161027,15.58
5049,20161028,14.82
5050,20161029,11.86
5051,20161030,10.11
5052,20161031,9.7
5053,20161101,7.11
5054,20161102,7.12
5055,20161103,9.56
5056,20161104,11.08
5057,20161105,14.42
5058,20161106,14.12
5059,20161107,14.79
5060,20161108,9.94
5061,20161109,5.69
5062,20161110,8.24
5063,20161111,10.49
5064,20161112,11.93
5065,20161113,14.51
5066,20161114,15.85
5067,20161115,11.6
5068,20161116,8.87
5069,20161117,13.42
5070,20161118,11.8
5071,20161119,14.53
5072,20161120,14.48
5073,20161121,13.5
5074,20161122,8.26
5075,20161123,3.69
5076,20161124,2.71
5077,20161125,4.81
5078,20161126,3.46
5079,20161127,5.8
5080,20161128,6.14
5081,20161129,5.34
5082,20161130,5.45
5083,20161201,7.3
5084,20161202,4.54
5085,20161203,4.98
5086,20161204,6.39
5087,20161205,9.18
5088,20161206,4.45
5089,20161207,2.22
5090,20161208,4.93
5091,20161209,6.76
5092,20161210,2.57
5093,20161211,2.94
5094,20161212,6.41
5095,20161213,7.48
5096,20161214,2.97
5097,20161215,0.71
5098,20161216,0.45
5099,20161217,4.43
5100,20161218,5.83
5101,20161219,10.02
5102,20161220,10.62
5103,20161221,12.05
5104,20161222,9.54
5105,20161223,3.0
5106,20161224,2.49
5107,20161225,4.28
5108,20161226,6.2
5109,20161227,2.78
5110,20161228,-0.19
5111,20161229,-0.18
5112,20161230,0.21
5113,20161231,1.67
5114,20170101,4.48
5115,20170102,6.93
5116,20170103,5.99
5117,20170104,4.74
5118,20170105,6.5
5119,20170106,8.48
5120,20170107,6.38
5121,20170108,8.72
5122,20170109,5.6
5123,20170110,2.84
5124,20170111,0.11
5125,20170112,2.1
5126,20170113,-0.02
5127,20170114,-2.56
5128,20170115,-3.2
5129,20170116,-0.69
5130,20170117,-0.1
5131,20170118,2.31
5132,20170119,2.19
5133,20170120,-0.14
5134,20170121,-0.7
5135,20170122,-1.36
5136,20170123,-3.73
5137,20170124,-2.01
5138,20170125,-1.5
5139,20170126,0.4
5140,20170127,2.46
5141,20170128,2.75
5142,20170129,5.59
5143,20170130,0.4
5144,20170131,-1.6
5145,20170201,0.02
5146,20170202,-0.09
5147,20170203,2.7
5148,20170204,6.49
5149,20170205,5.36
5150,20170206,2.24
5151,20170207,1.68
5152,20170208,1.82
5153,20170209,-0.87
5154,20170210,-3.4
5155,20170211,-1.93
5156,20170212,1.28
5157,20170213,2.26
5158,20170214,3.99
5159,20170215,4.15
5160,20170216,7.49
5161,20170217,6.56
5162,20170218,0.77
5163,20170219,4.38
5164,20170220,4.5
5165,20170221,2.16
5166,20170222,6.11
5167,20170223,1.95
5168,20170224,1.57
5169,20170225,4.39
5170,20170226,4.55
5171,20170227,5.19
5172,20170228,6.13
5173,20170301,7.57
5174,20170302,3.34
5175,20170303,4.84
5176,20170304,7.37
5177,20170305,7.26
5178,20170306,3.65
5179,20170307,0.3
5180,20170308,2.2
5181,20170309,6.28
5182,20170310,7.68
5183,20170311,8.56
5184,20170312,9.87
5185,20170313,8.95
5186,20170314,6.18
5187,20170315,5.77
5188,20170316,6.5
5189,20170317,7.67
5190,20170318,9.61
5191,20170319,11.43
5192,20170320,8.85
5193,20170321,7.36
5194,20170322,7.28
5195,20170323,9.98
5196,20170324,9.05
5197,20170325,7.34
5198,20170326,6.92
5199,20170327,7.47
5200,20170328,8.2
5201,20170329,7.79
5202,20170330,11.59
5203,20170331,11.11
5204,20170401,9.37
5205,20170402,9.3
5206,20170403,11.46
5207,20170404,14.47
5208,20170405,14.8
5209,20170406,14.68
5210,20170407,15.14
5211,20170408,16.82
5212,20170409,15.62
5213,20170410,16.53
5214,20170411,12.62
5215,20170412,13.14
5216,20170413,13.41
5217,20170414,15.29
5218,20170415,18.53
5219,20170416,20.2
5220,20170417,16.56
5221,20170418,14.23
5222,20170419,14.0
5223,20170420,12.91
5224,20170421,14.41
5225,20170422,14.61
5226,20170423,15.33
5227,20170424,16.43
5228,20170425,18.6
5229,20170426,15.88
5230,20170427,13.93
5231,20170428,15.57
5232,20170429,18.28
5233,20170430,20.19
5234,20170501,19.66
5235,20170502,20.03
5236,20170503,20.79
5237,20170504,20.47
5238,20170505,18.9
5239,20170506,17.42
5240,20170507,17.62
5241,20170508,18.05
5242,20170509,14.51
5243,20170510,15.66
5244,20170511,20.88
5245,20170512,20.18
5246,20170513,19.35
5247,20170514,16.95
5248,20170515,16.57
5249,20170516,17.45
5250,20170517,18.92
5251,20170518,20.67
5252,20170519,21.91
5253,20170520,21.1
5254,20170521,21.19
5255,20170522,22.76
5256,20170523,22.09
5257,20170524,22.14
5258,20170525,20.42
5259,20170526,16.94
5260,20170527,18.73
5261,20170528,21.85
5262,20170529,24.21
5263,20170530,24.2
5264,20170531,22.49
5265,20170601,22.45
5266,20170602,20.25
5267,20170603,20.57
5268,20170604,21.12
5269,20170605,23.04
5270,20170606,19.62
5271,20170607,18.55
5272,20170608,20.51
5273,20170609,22.17
5274,20170610,23.18
5275,20170611,24.21
5276,20170612,21.75
5277,20170613,21.7
5278,20170614,21.68
5279,20170615,23.11
5280,20170616,25.09
5281,20170617,24.75
5282,20170618,25.09
5283,20170619,20.31
5284,20170620,23.09
5285,20170621,23.91
5286,20170622,25.37
5287,20170623,25.72
5288,20170624,24.68
5289,20170625,24.8
5290,20170626,23.71
5291,20170627,23.77
5292,20170628,25.15
5293,20170629,24.56
5294,20170630,24.39
5295,20170701,26.11
5296,20170702,26.8
5297,20170703,26.85
5298,20170704,27.16
5299,20170705,27.58
5300,20170706,26.12
5301,20170707,27.4
5302,20170708,26.82
5303,20170709,27.43
5304,20170710,27.46
5305,20170711,26.51
5306,20170712,28.14
5307,20170713,28.42
5308,20170714,26.89
5309,20170715,25.7
5310,20170716,28.53
5311,20170717,26.89
5312,20170718,25.7
5313,20170719,28.58
5314,20170720,29.48
5315,20170721,30.68
5316,20170722,29.6
5317,20170723,29.15
5318,20170724,29.97
5319,20170725,29.42
5320,20170726,29.02
5321,20170727,28.8
5322,20170728,28.72
5323,20170729,29.23
5324,20170730,27.4
5325,20170731,26.31
5326,20170801,27.72
5327,20170802,28.51
5328,20170803,28.88
5329,20170804,30.38
5330,20170805,31.17
5331,20170806,30.58
5332,20170807,30.03
5333,20170808,29.15
5334,20170809,27.85
5335,20170810,28.24
5336,20170811,28.12
5337,20170812,27.33
5338,20170813,24.4
5339,20170814,23.97
5340,20170815,24.79
5341,20170816,26.53
5342,20170817,26.46
5343,20170818,26.12
5344,20170819,26.72
5345,20170820,26.83
5346,20170821,25.43
5347,20170822,26.95
5348,20170823,29.14
5349,20170824,29.19
5350,20170825,27.84
5351,20170826,25.48
5352,20170827,25.17
5353,20170828,25.87
5354,20170829,24.34
5355,20170830,20.9
5356,20170831,23.04
5357,20170901,24.1
5358,20170902,23.1
5359,20170903,23.46
5360,20170904,23.59
5361,20170905,21.28
5362,20170906,21.9
5363,20170907,22.01
5364,20170908,22.97
5365,20170909,23.91
5366,20170910,24.45
5367,20170911,21.66
5368,20170912,23.05
5369,20170913,22.12
5370,20170914,22.68
5371,20170915,21.68
5372,20170916,21.23
5373,20170917,23.69
5374,20170918,22.4
5375,20170919,23.73
5376,20170920,21.75
5377,20170921,20.11
5378,20170922,21.61
5379,20170923,21.74
5380,20170924,23.2
5381,20170925,24.27
5382,20170926,25.3
5383,20170927,20.79
5384,20170928,21.38
5385,20170929,18.02
5386,20170930,19.51
5387,20171001,17.81
5388,20171002,21.02
5389,20171003,19.82
5390,20171004,19.05
5391,20171005,17.8
5392,20171006,16.32
5393,20171007,20.58
5394,20171008,22.13
5395,20171009,23.05
5396,20171010,23.12
5397,20171011,19.02
5398,20171012,13.27
5399,20171013,13.94
5400,20171014,16.58
5401,20171015,15.03
5402,20171016,17.08
5403,20171017,16.73
5404,20171018,16.74
5405,20171019,17.1
5406,20171020,17.38
5407,20171021,17.86
5408,20171022,17.96
5409,20171023,15.44
5410,20171024,14.41
5411,20171025,13.82
5412,20171026,14.5
5413,20171027,16.48
5414,20171028,17.11
5415,20171029,14.31
5416,20171030,9.97
5417,20171031,10.42
5418,20171101,12.11
5419,20171102,13.27
5420,20171103,11.67
5421,20171104,9.72
5422,20171105,9.38
5423,20171106,10.32
5424,20171107,15.78
5425,20171108,15.5
5426,20171109,12.05
5427,20171110,13.21
5428,20171111,9.25
5429,20171112,8.31
5430,20171113,9.67
5431,20171114,11.05
5432,20171115,7.82
5433,20171116,6.46
5434,20171117,8.1
5435,20171118,4.08
5436,20171119,3.08
5437,20171120,5.72
5438,20171121,6.23
5439,20171122,7.33
5440,20171123,4.88
5441,20171124,5.25
5442,20171125,6.11
5443,20171126,8.31
