"행정구역별","산업별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"울산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",151,165,174,183,214,212,205,196,202,233,228
"울산","건설업(41~42)",2272,2429,2515,2831,3034,3144,3209,3263,3263,3271,3475
"울산","도매 및 소매업(45~47)",17539,18065,18488,19064,19293,19782,19969,20018,20248,20146,20610
"울산","운수 및 창고업(49~52)",6633,7177,6659,6842,6836,7158,7449,7090,7536,7633,8524
"울산","숙박 및 음식점업(55~56)",15940,16294,16642,17018,17189,17635,18124,18522,18901,19377,20396
"울산","정보통신업(58~63)",244,280,278,296,315,316,335,319,343,387,396
"울산","금융 및 보험업(64~66)",836,866,901,899,898,938,930,951,941,897,847
"울산","부동산업(68)",1829,1968,2073,2184,2453,2604,2947,3138,3151,3190,3261
"울산","전문, 과학 및 기술 서비스업(70~73)",1271,1382,1453,1513,1641,1730,1733,1745,1897,1960,2040
"울산","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1108,1196,1250,1343,1501,1528,1539,1474,1519,1537,1563
"울산","공공행정, 국방 및 사회보장 행정(84)",191,187,190,191,189,198,203,205,207,207,204
"울산","교육 서비스업(85)",4424,4485,4447,4517,4564,4526,4650,4776,4838,4896,4806
"울산","보건업 및 사회복지 서비스업(86~87)",2234,2369,2487,2584,2676,2700,2805,2883,2894,2969,2926
"울산","예술, 스포츠 및 여가관련 서비스업(90~91)",2688,2712,2709,2730,2668,2609,2861,3053,3108,3069,2983
"울산","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",8060,8245,8369,8433,8393,8515,8737,8942,9221,9452,9604
"세종","전체 산업",-,-,6640,7468,9124,10480,11853,13668,15871,18041,19821
"세종","농업, 임업 및 어업(01~03)",-,-,6,7,6,8,14,9,15,25,41
"세종","광업(05~08)",-,-,4,9,10,10,11,9,9,9,8
"세종","제조업(10~34)",-,-,703,784,913,988,1015,1093,1233,1300,1372
"세종","전기, 가스, 증기 및 공기조절 공급업(35)",-,-,3,6,5,5,6,9,14,15,22
"세종","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",-,-,25,26,37,39,48,57,64,71,76
"세종","건설업(41~42)",-,-,224,377,546,544,512,478,544,604,675
"세종","도매 및 소매업(45~47)",-,-,1508,1602,1940,2177,2401,2680,2963,3402,3844
"세종","운수 및 창고업(49~52)",-,-,513,565,646,724,786,748,942,1141,1082
"세종","숙박 및 음식점업(55~56)",-,-,1545,1665,2007,2375,2726,3049,3452,3849,4276
"세종","정보통신업(58~63)",-,-,29,39,57,66,85,121,160,218,258
"세종","금융 및 보험업(64~66)",-,-,86,99,109,119,133,154,179,198,191
"세종","부동산업(68)",-,-,341,423,676,749,891,1210,1369,1541,1757
"세종","전문, 과학 및 기술 서비스업(70~73)",-,-,107,145,219,251,281,360,444,552,669
"세종","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",-,-,89,117,149,179,222,292,348,397,432
"세종","공공행정, 국방 및 사회보장 행정(84)",-,-,44,57,75,86,102,108,117,130,130
"세종","교육 서비스업(85)",-,-,237,279,351,484,613,877,1107,1354,1524
"세종","보건업 및 사회복지 서비스업(86~87)",-,-,240,267,323,444,550,673,817,885,914
"세종","예술, 스포츠 및 여가관련 서비스업(90~91)",-,-,178,200,230,282,366,469,541,601,657
"세종","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",-,-,758,801,825,950,1091,1272,1553,1749,1893
"경기","전체 산업",687021,720850,751107,773215,810259,827983,856162,878275,909032,934349,989105
"경기","농업, 임업 및 어업(01~03)",193,197,202,231,305,336,411,457,522,558,797
"경기","광업(05~08)",99,96,91,85,101,106,100,101,94,92,88
"경기","제조업(10~34)",92814,97711,104623,108722,118630,126428,128564,130282,132785,133317,139238
"경기","전기, 가스, 증기 및 공기조절 공급업(35)",129,132,141,154,183,188,225,246,276,367,453
"경기","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",1389,1493,1630,1758,1991,2077,2118,2138,2255,2285,2361
"경기","건설업(41~42)",20066,21573,22399,23726,26512,27356,28452,28854,30361,31261,35074
"경기","도매 및 소매업(45~47)",157468,166126,174971,180550,191429,198080,201592,204601,209233,212226,227767
"경기","운수 및 창고업(49~52)",69752,74408,76548,80280,81965,82317,84762,85870,90679,94190,98423
"경기","숙박 및 음식점업(55~56)",123232,128176,131545,134425,138533,140235,145544,149870,154477,160465,173274
"경기","정보통신업(58~63)",3477,3861,4620,5077,5910,6362,6600,6751,7117,7750,8927
"경기","금융 및 보험업(64~66)",6402,6695,6831,6845,6869,6785,6946,7118,7208,7213,7099
"경기","부동산업(68)",31657,32263,32158,31820,32668,32818,35972,38130,41103,43792,47248
"경기","전문, 과학 및 기술 서비스업(70~73)",12984,14005,15230,15986,17442,18436,18989,19552,21528,23241,26472
